sep=;
Date;Korkein;Matalin;Closing price;Keskimääräinen;Kok.volyymi;Liikevaihto;
2022-04-05;11360,16;11262,39;11315,49;;1;;
2022-04-04;11350,43;11211,39;11315,11;;1;;
2022-04-01;11350,91;11204,97;11301,00;;1;;
2022-03-31;11334,88;11185,23;11195,52;;1;;
2022-03-30;11379,04;11200,32;11288,22;;1;;
2022-03-29;11413,89;11145,39;11376,86;;1;;
2022-03-28;11161,26;11056,97;11083,54;;1;;
2022-03-25;11069,44;10983,73;10983,73;;1;;
2022-03-24;11260,93;11081,31;11130,67;;1;;
2022-03-23;11492,26;11222,76;11243,35;;1;;
2022-03-22;11434,71;11369,03;11413,50;;1;;
2022-03-21;11389,27;11312,67;11386,08;;1;;
2022-03-18;11373,51;11184,53;11353,79;;1;;
2022-03-17;11554,55;11227,33;11345,10;;1;;
2022-03-16;11402,72;11232,25;11371,98;;1;;
2022-03-15;11119,51;10926,95;11009,56;;1;;
2022-03-14;11240,89;10920,36;11182,18;;1;;
2022-03-11;10913,85;10609,00;10780,58;;1;;
2022-03-10;10684,10;10453,89;10565,12;;1;;
2022-03-09;10662,94;10345,05;10535,16;;1;;
2022-03-08;10280,62;9795,21;10112,18;;1;;
2022-03-07;10148,96;9549,52;9974,98;;1;;
2022-03-04;10446,37;10092,28;10110,85;;1;;
2022-03-03;11032,45;10527,86;10561,10;;1;;
2022-03-02;10909,72;10506,83;10856,88;;1;;
2022-03-01;11211,24;10725,12;10725,12;;1;;
2022-02-28;11259,88;10973,00;11254,78;;1;;
2022-02-25;11412,93;11023,98;11353,75;;1;;
2022-02-24;11139,67;10742,90;10955,29;;1;;
2022-02-23;11594,81;11384,20;11389,04;;1;;
2022-02-22;11563,99;11222,29;11464,66;;1;;
2022-02-21;11779,25;11453,39;11580,60;;1;;
2022-02-18;11876,50;11707,71;11727,47;;1;;
2022-02-17;12019,63;11789,50;11812,64;;1;;
2022-02-16;12079,73;11973,23;12014,18;;1;;
2022-02-15;12002,42;11795,67;11971,04;;1;;
2022-02-14;11889,24;11692,81;11829,69;;1;;
2022-02-11;12192,28;12067,77;12136,39;;1;;
2022-02-10;12412,77;12134,52;12207,29;;1;;
2022-02-09;12343,68;12244,54;12312,16;;1;;
2022-02-08;12279,79;12152,36;12191,80;;1;;
2022-02-07;12215,15;12058,01;12215,05;;1;;
2022-02-04;12279,11;11985,66;12034,06;;1;;
2022-02-03;12347,30;12175,34;12181,75;;1;;
2022-02-02;12501,46;12383,21;12388,38;;1;;
2022-02-01;12412,72;12314,64;12380,18;;1;;
2022-01-31;12255,91;12136,71;12220,92;;1;;
2022-01-28;12140,40;11892,93;12024,06;;1;;
2022-01-27;12133,90;11920,01;12066,56;;1;;
2022-01-26;12196,13;11970,95;12107,68;;1;;
2022-01-25;11998,92;11834,85;11896,61;;1;;
2022-01-24;12213,49;11647,69;11735,14;;1;;
2022-01-21;12506,72;12210,53;12300,90;;1;;
2022-01-20;12714,04;12563,82;12695,76;;1;;
2022-01-19;12763,76;12563,50;12623,67;;1;;
2022-01-18;12740,22;12666,49;12685,69;;1;;
2022-01-17;12822,04;12738,55;12787,50;;1;;
2022-01-14;12815,38;12718,76;12742,65;;1;;
2022-01-13;12946,90;12852,85;12899,10;;1;;
2022-01-12;12940,90;12811,64;12899,98;;1;;
2022-01-11;12882,71;12774,89;12810,92;;1;;
2022-01-10;12990,74;12686,50;12725,49;;1;;
2022-01-05;13159,75;13084,62;13131,52;;1;;
2022-01-04;13111,92;12990,05;13065,35;;1;
