sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-08-03;14,95;15,10;15,00;15,45;14,95;15,05;15,087;1620;24440,1;35;
2022-08-02;14,80;15,00;14,90;15,00;14,80;15,00;14,906;839;12506,3;20;
2022-08-01;14,90;15,20;15,00;15,20;14,85;14,90;14,996;3954;59295,05;32;
2022-07-29;15,00;15,10;14,80;15,30;14,80;15,00;15,15;7601;115158,3;49;
2022-07-28;14,70;14,75;14,70;14,70;14,35;14,70;14,675;2472;36281,05;18;
2022-07-27;14,70;14,75;14,70;14,70;14,70;14,70;14,70;433;6365,1;8;
2022-07-26;14,60;14,70;14,60;14,70;14,35;14,70;14,551;469;6824,25;15;
2022-07-25;14,35;14,40;14,50;14,70;14,30;14,65;14,568;1677;24430,3;29;
2022-07-22;14,10;14,40;14,05;14,50;14,05;14,50;14,381;688;9894,2;17;
2022-07-21;14,00;14,25;14,25;14,25;14,05;14,05;14,187;409;5802,65;7;
2022-07-20;14,00;14,25;14,30;14,30;14,05;14,25;14,226;1939;27584,25;15;
2022-07-19;14,30;14,60;14,70;14,70;14,30;14,50;14,505;2546;36929,45;24;
2022-07-18;14,25;14,35;14,70;14,70;14,15;14,45;14,465;1848;26731,6;47;
2022-07-15;14,35;14,70;13,95;14,70;13,95;14,70;14,257;412;5873,7;18;
2022-07-14;13,90;14,10;14,30;14,30;14,10;14,10;14,253;695;9905,55;13;
2022-07-13;13,90;14,15;13,85;14,15;13,85;14,15;14,109;290;4091,5;9;
2022-07-12;13,95;14,20;13,95;14,20;13,80;13,85;14,009;907;12706,3;20;
2022-07-11;13,85;14,05;14,00;14,30;13,75;13,85;13,899;1922;26713,95;27;
2022-07-08;13,90;14,10;14,00;14,35;14,00;14,10;14,106;928;13090,65;13;
2022-07-07;13,90;14,00;14,00;14,20;13,95;14,10;13,964;279;3895,85;6;
2022-07-06;13,85;14,00;14,30;14,30;14,00;14,00;14,118;479;6762,3;9;
2022-07-05;14,05;14,15;14,05;14,35;14,05;14,15;14,149;314;4442,65;8;
2022-07-04;14,05;14,20;14,20;14,20;13,90;14,20;13,978;446;6234,35;9;
2022-07-01;13,90;14,20;14,00;14,30;13,80;14,30;13,968;1742;24332,1;18;
2022-06-30;13,70;14,00;14,05;14,10;13,65;14,00;13,995;945;13225,3;26;
2022-06-29;14,10;14,45;14,45;14,50;14,45;14,45;14,457;763;11030,8;9;
2022-06-28;14,30;14,45;14,15;14,30;13,90;14,30;14,116;550;7763,65;12;
2022-06-27;14,00;14,20;13,75;14,40;13,60;14,00;13,971;2418;33781,8;41;
2022-06-23;13,65;13,90;13,85;13,85;13,65;13,65;13,733;1141;15668,85;11;
2022-06-22;13,85;14,00;14,25;14,30;13,75;13,85;13,894;1606;22313,8;35;
2022-06-21;14,20;14,45;13,95;14,50;13,95;14,45;14,236;2344;33369,5;20;
2022-06-20;13,50;13,85;13,45;13,90;13,45;13,85;13,698;1778;24355;12;
2022-06-17;13,30;13,45;13,70;13,95;13,40;13,40;13,561;5801;78666,4;65;
2022-06-16;13,70;13,95;14,00;14,15;13,80;13,80;13,903;2367;32882,35;22;
2022-06-15;13,90;14,00;14,00;14,10;13,90;13,95;13,972;2840;39681,7;21;
2022-06-14;13,95;14,05;14,00;14,10;13,80;14,00;13,894;699;9712,05;16;
2022-06-13;13,80;14,00;14,10;14,15;13,90;14,00;14,003;4712;65983,7;23;
2022-06-10;14,00;14,10;14,00;14,40;13,80;14,05;14,018;12360;173263,9;64;
2022-06-09;14,00;14,25;14,25;14,25;14,10;14,10;14,172;101885;1476714,65;19;
2022-06-08;14,10;14,25;14,45;14,45;14,10;14,15;14,233;4164;59264,65;30;
2022-06-07;14,40;14,45;14,15;14,65;14,15;14,40;14,455;5152;74473,1;54;
2022-06-06;13,80;13,85;14,00;14,10;13,65;13,80;13,803;4710;65010,05;82;
2022-06-03;13,90;13,95;14,20;14,20;13,90;13,90;14,058;870;12230,8;32;
2022-06-02;14,05;14,20;14,05;14,25;13,95;14,00;14,071;2720;38274,15;50;
2022-06-01;13,90;14,15;14,15;14,35;13,90;13,90;13,983;1277;17856,45;35;
2022-05-31;13,90;14,15;14,10;14,15;13,90;13,90;14,065;2301;32363,2;33;
2022-05-30;13,90;14,10;14,00;14,45;14,00;14,00;14,052;1239;17410,2;13;
2022-05-27;13,95;14,35;14,05;14,45;13,80;14,00;14,05;1955;27467,1;22;
2022-05-25;13,65;14,05;13,85;14,10;13,80;14,05;13,948;2325;32428,2;19;
2022-05-24;13,75;14,05;13,90;14,15;13,75;14,05;13,833;1705;23585,4;33;
2022-05-23;13,60;13,85;14,15;14,15;13,60;13,85;13,838;2007;27773,75;22;
2022-05-20;13,95;14,20;13,40;14,15;13,40;14,15;13,714;700;9600,1;19;
2022-05-19;13,60;13,90;14,15;14,45;13,40;13,40;13,712;1756;24077,95;26;
2022-05-18;14,15;14,35;14,50;14,50;14,15;14,15;14,427;723;10431;13;
2022-05-17;14,40;14,70;14,70;14,70;14,30;14,45;14,458;4979;71986,45;17;
2022-05-16;14,25;14,70;14,50;14,70;14,15;14,70;14,513;3878;56279,45;26;
2022-05-13;13,90;14,50;13,80;14,85;13,55;14,60;14,169;2003;28381,2;30;
2022-05-12;13,40;13,80;13,90;13,90;13,35;13,75;13,435;2312;31062,35;29;
2022-05-11;13,90;14,00;13,85;14,00;13,15;14,00;13,548;6742;91343,5;53;
